City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Kampala,Uganda,0.3156,32.5656,1762993800,19.8,6.1,Clear,2.0,522.85,10.65,50.0,37.95
Algiers,Algeria,36.7631,3.0506,1762993800,14.2,13.0,Clear,2.0,184.85,32.75,30.0,15.55
Lagos,Nigeria,6.4531,3.3958,1764214200,27.2,13.7,Cloudy,1.0,228.85,4.55,55.0,13.95
Accra,Ghana,5.55,-0.2167,1764214200,27.2,13.3,Partly cloudy,1.0,207.85,9.65,42.0,9.95
Nairobi,Kenya,-1.2833,36.8167,1764214200,13.4,6.1,Partly Cloudy,1.0,208.85,5.75,41.0,9.15
Johannesburg,South Africa,-26.2,28.0833,1764214200,17.1,4.7,Clear,3.0,429.85,65.15,13.0,47.45
Cairo,Egypt,30.05,31.25,1764214200,15.2,12.2,Clear,1.0,221.85,23.55,51.0,12.95
Casablanca,Morocco,33.5931,-7.6164,1764214200,8.1,13.7,Clear,1.0,138.85,10.55,50.0,8.85
Addis Ababa,Ethiopia,9.0333,38.7,1764214200,13.3,4.7,Partly cloudy,2.0,424.85,7.75,45.0,26.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764214200,24.6,5.8,Patchy rain nearby,1.0,115.85,5.35,28.0,7.75
Kampala,Uganda,0.3156,32.5656,1764214200,22.1,3.6,Patchy rain nearby,2.0,396.85,11.85,31.0,30.55
Algiers,Algeria,36.7631,3.0506,1764214200,8.1,22.7,Light rain,1.0,143.85,12.35,56.0,3.75
Lagos,Nigeria,6.4531,3.3958,1764236700,30.2,14.0,Partly cloudy,2.0,657.85,6.55,75.0,17.15
Accra,Ghana,5.55,-0.2167,1764236700,29.1,15.5,Partly cloudy,1.0,260.85,2.85,66.0,8.55
Nairobi,Kenya,-1.2833,36.8167,1764236700,24.3,17.6,Partly cloudy,1.0,297.85,4.55,61.0,7.65
Johannesburg,South Africa,-26.2,28.0833,1764236700,25.2,7.9,Sunny,2.0,339.85,14.35,136.0,15.95
Cairo,Egypt,30.05,31.25,1764236700,23.2,15.8,Sunny,1.0,341.85,42.45,25.0,14.45
Casablanca,Morocco,33.5931,-7.6164,1764236700,16.3,15.8,Sunny,1.0,172.85,27.65,44.0,13.05
Addis Ababa,Ethiopia,9.0333,38.7,1764236700,20.4,9.4,Partly cloudy,1.0,290.85,1.85,90.0,15.35
