name,brand,price,deal_price,final_price,description,image_thumbnail,sku,seller,stock,product_rating,fetched_at
Prodesk Adjustable Laptop Stand,Nillkin,60000,,,[object Object],/Q/O/57289_1671533896.jpg,6037430,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 14}","{'quality': {'average': 5, 'number_of_ratings': 1}}",2025-11-27 04:14:01
Ascent Stand For Laptops,Nillkin,17400,,,[object Object],/Q/M/57289_1671534398.jpg,6037417,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Powerology - 11 In 1 Usb-c Hub,,150000,,,[object Object],/J/J/57289_1670940117.jpg,5960973,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Certified Magic Mouse 2 - Space Gray,Apple,155000,,,[object Object],/P/B/57289_1649693122.jpg,5693202,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
"Charger Adapter For 13"" MacBook Pros - 61w",Apple,115000,,,[object Object],/L/P/57289_1649772707.jpg,5692861,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Macbook Charger 85w,Apple,140000,,,[object Object],/F/I/57289_1649773442.jpg,5692860,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Mx Keys,Logitech,300000,,,[object Object],/O/U/57289_1637325218.jpg,5531664,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Card Reader Rdf9,Transcend,64000,,,[object Object],/S/Z/57289_1637252349.jpg,5531393,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 18}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Mx Master 3 Advanced Wireless Mouse,Logitech,300000,,,[object Object],/E/O/57289_1637251370.jpg,5530775,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Wireless Rechargable Magic Keyboard - Silver,Apple,265000,,,[object Object],/D/O/57289_1636974950.jpg,5528759,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Wireless Rechargable Magic Mouse  - Silver,Apple,210000,,,[object Object],/J/E/57289_1636973504.jpg,5528749,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 18}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
60W Magsafe Power Adapter,Apple,127000,,,[object Object],/R/Y/57289_1636972886.jpg,5528748,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
45W Magsafe 2 Power Adapter,Apple,124000,,,[object Object],/T/B/57289_1636972306.jpg,5528744,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Mini Display Port To Hdmi,,36200,,,[object Object],/U/W/57289_1637063766.jpg,5527693,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 17}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
C270 Hd Webcam - Hd 720p - Widescreen Hd Video,Logitech,80000,,,[object Object],/D/B/57289_1636630808.jpg,5522604,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 17}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
4fd Button Usb Wired Mouse,Microsoft,34400,,,[object Object],/R/A/57289_1636630255.jpg,5520794,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
87w Usb-c Power Adapter,Apple,92000,,,[object Object],/Q/N/57289_1636454004.jpg,5517387,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 19}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
M90 Wired Usb Mouse - Black,Logitech,12000,,,[object Object],/A/V/57289_1630506504.jpg,5410287,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 10}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
JCO4 LAPTOP BATTERY,HP,24725,,,[object Object],/T/I/118566_1604505433.jpg,5000867,{'name': 'Konga'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Basilisk Gaming Mouse Classic Black,Razer,244000,,,[object Object],/R/U/57289_1727279653.jpg,6566278,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Baseus Ultrajoy 5w1 5-port Hub docking station - Grey,,49000,,,[object Object],/F/Z/57289_1760001914.jpg,6861874,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Baseus Ultrajoy Series 7-port Usb C Docking Station – 4k@60hz Hdmi- 100w Pd- 1080p Vga ,,80000,,,[object Object],/W/K/57289_1759746143.jpg,6860173,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Baseus Hub 8 In 1 Usb C Hub Docking Station Adapter With 4k Hdmi For Ipad Pro,,90000,,,[object Object],/F/A/57289_1759747297.jpg,6860155,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
Microsoft Arc Mouse - Platinum,,220000,,,[object Object],/P/X/57289_1757502114.jpg,6839757,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 10:17:40
